le_mac,prix au kg,kg nécessaire pour 60,coût pour 60,,,le_tete_brulee,prix au kg,kg nécessaire pour 60,coût pour 60
blanc oeuf,-,0.19,2.10€,,,blanc oeuf,-,0.19,2.10€
poudre noisettes,15.98€,0.14,2.16€,,,poudre noisettes,15.98€,0.14,2.16€
poudre amandes,12.48€,0.14,1.68€,,,poudre amandes,12.48€,0.14,1.68€
sucre en poudre,2.20€,0.25,0.55€,,,sucre en poudre,2.20€,0.30,0.66€
sucre glace,3.45€,0.25,0.86€,,,sucre glace,3.45€,0.25,0.86€
colorant,-,-,0.29€,,,colorant,-,-,0.29€
coût moyen filling,-,0.30,2.00€,,,coût moyen filling,-,0.30,2.00€
consommation énergétique moyenne,-,-,0.90€,,,consommation énergétique moyenne,-,-,1.00€
,,TOTAL,10.54€,,,,,TOTAL,10.75€
,,Coût unitaire,0.18€,,,,,Coût unitaire,0.18€
,,Marge,0.57€,,,,,Marge,0.62€
,,TOTAL TTC,0.75€,,,,,TOTAL TTC,0.80€